# {"t_start": 1635115773.3935099, "env_id": "FreewayNoFrameskip-v0"} 
r,l,t
1.0,2042,65.02799
6.0,2047,125.412978
18.0,2046,173.737713
20.0,2041,220.823213
22.0,2041,268.996931
22.0,2042,312.867676
19.0,2044,358.606572
22.0,2043,412.570962
19.0,2045,456.007288
21.0,2042,499.635123
21.0,2041,542.415165
19.0,2043,582.832251
20.0,2041,623.046061
19.0,2043,668.528921
19.0,2045,709.836481
20.0,2043,748.901644
20.0,2047,788.515969
17.0,2042,829.493991
22.0,2042,870.405332
18.0,2046,907.288898
19.0,2042,944.898281
21.0,2046,983.146252
21.0,2043,1022.288843
22.0,2042,1064.652261
20.0,2047,1104.125257
22.0,2044,1143.0771
20.0,2042,1179.891727
20.0,2045,1215.941181
22.0,2041,1250.362625
21.0,2042,1286.383856
21.0,2042,1322.387947
22.0,2046,1359.406167
19.0,2043,1397.072124
22.0,2045,1433.541527
24.0,2042,1470.057701
19.0,2042,1506.380096
21.0,2042,1542.793477
20.0,2047,1579.051328
19.0,2042,1615.217033
21.0,2046,1651.506013
21.0,2041,1690.421375
22.0,2041,1730.941888
20.0,2044,1771.410163
25.0,2043,1811.483943
22.0,2046,1854.874499
23.0,2044,1899.873865
18.0,2048,1937.294222
21.0,2044,1973.155843
21.0,2045,2009.25466
21.0,2042,2046.321741
20.0,2043,2082.636624
22.0,2046,2118.940728
19.0,2046,2155.207624
18.0,2043,2191.292004
21.0,2046,2227.352368
17.0,2048,2263.706588
21.0,2046,2300.551347
20.0,2044,2336.697021
23.0,2046,2373.066627
21.0,2045,2410.084007
23.0,2046,2449.031076
23.0,2042,2487.54891
22.0,2046,2528.031074
20.0,2043,2568.867063
20.0,2041,2613.100719
21.0,2041,2654.901183
22.0,2041,2690.714326
21.0,2042,2726.916944
20.0,2046,2762.828526
20.0,2047,2798.776112
21.0,2041,2835.099495
22.0,2044,2871.389694
21.0,2041,2909.206497
20.0,2047,2945.180729
20.0,2047,2981.14867
18.0,2042,3017.256964
22.0,2044,3053.449111
21.0,2041,3089.82987
19.0,2043,3125.947577
22.0,2048,3164.577567
23.0,2042,3205.523644
19.0,2044,3245.696573
19.0,2046,3286.007169
23.0,2045,3328.971724
24.0,2048,3371.206363
22.0,2041,3407.179781
21.0,2046,3443.368465
21.0,2046,3480.687271
23.0,2048,3516.680664
22.0,2047,3552.965663
18.0,2043,3589.14153
22.0,2045,3625.445502
21.0,2047,3661.803144
21.0,2046,3697.735947
22.0,2045,3733.795369
21.0,2047,3770.572844
22.0,2047,3808.108108
20.0,2048,3844.292227
23.0,2041,3882.196226
24.0,2047,3922.978952
24.0,2043,3962.913608
23.0,2041,4003.362495
21.0,2042,4046.191175
23.0,2041,4087.656989
22.0,2044,4123.658812
26.0,2047,4159.721967
24.0,2048,4196.177459
20.0,2043,4232.940276
23.0,2042,4270.173365
21.0,2047,4306.880867
22.0,2046,4349.075728
25.0,2043,4392.494695
26.0,2041,4438.322341
26.0,2044,4480.544585
24.0,2047,4521.621837
26.0,2047,4564.357939
24.0,2041,4605.607153
25.0,2042,4649.288814
25.0,2041,4692.345648
23.0,2047,4735.185689
21.0,2041,4777.736634
23.0,2043,4820.387961
22.0,2043,4863.106897
21.0,2045,4906.602169
24.0,2046,4949.233114
25.0,2047,4992.258221
25.0,2045,5035.412614
27.0,2048,5077.899993
26.0,2041,5120.709082
28.0,2043,5162.192281
24.0,2046,5203.219484
28.0,2048,5244.609624
22.0,2041,5287.997793
26.0,2046,5328.242802
24.0,2047,5370.798882
25.0,2043,5413.566494
25.0,2045,5456.391827
23.0,2044,5499.207983
25.0,2045,5541.826348
27.0,2048,5585.235771
25.0,2041,5627.566784
27.0,2045,5670.02511
26.0,2045,5713.421616
24.0,2046,5755.11503
27.0,2044,5798.504256
27.0,2046,5836.607918
27.0,2046,5873.30763
21.0,2042,5910.916577
24.0,2045,5947.189726
27.0,2042,5983.492117
26.0,2048,6020.244346
28.0,2047,6056.837596
23.0,2044,6093.322441
23.0,2041,6129.650438
27.0,2041,6166.221666
25.0,2047,6203.218857
25.0,2044,6239.456258
29.0,2043,6275.524624
27.0,2041,6311.681143
26.0,2048,6348.186822
28.0,2048,6384.318176
27.0,2043,6420.300508
24.0,2044,6456.55349
29.0,2047,6493.914204
29.0,2042,6530.271947
26.0,2044,6566.314748
25.0,2043,6602.508009
26.0,2046,6638.8717
24.0,2045,6673.904985
28.0,2047,6710.12441
27.0,2043,6746.284728
28.0,2046,6783.332718
26.0,2047,6819.7459
25.0,2041,6855.868163
27.0,2047,6892.183742
27.0,2041,6929.038176
29.0,2042,6966.674516
25.0,2044,7003.095854
24.0,2046,7039.457134
27.0,2044,7077.05366
25.0,2041,7113.838709
27.0,2043,7149.925324
25.0,2041,7186.258535
27.0,2042,7222.744054
28.0,2047,7259.379725
25.0,2044,7295.443752
26.0,2047,7333.030121
28.0,2041,7369.60796
25.0,2041,7406.81644
27.0,2047,7443.545309
29.0,2048,7483.437157
27.0,2045,7524.138029
27.0,2045,7564.382071
30.0,2047,7606.444971
23.0,2041,7649.896236
28.0,2042,7687.770753
28.0,2042,7724.164956
26.0,2046,7761.910679
29.0,2048,7798.146186
27.0,2041,7835.163607
26.0,2043,7870.073698
28.0,2047,7906.431705
29.0,2046,7942.663453
28.0,2042,7979.822366
28.0,2046,8016.318118
28.0,2041,8052.589929
28.0,2045,8089.015555
29.0,2048,8125.532898
30.0,2048,8165.395437
28.0,2042,8206.054406
26.0,2042,8246.527853
26.0,2043,8289.32268
28.0,2042,8332.163867
27.0,2045,8372.325095
29.0,2047,8408.720426
31.0,2043,8445.311374
26.0,2042,8483.521307
29.0,2046,8520.268602
28.0,2046,8557.177456
28.0,2043,8594.798723
30.0,2045,8632.367941
27.0,2045,8669.059941
29.0,2048,8705.872414
26.0,2042,8742.890214
27.0,2045,8779.555562
28.0,2042,8816.984698
28.0,2047,8857.075862
26.0,2042,8898.469912
29.0,2043,8940.21523
26.0,2042,8980.776483
29.0,2046,9024.059408
28.0,2044,9066.732488
30.0,2041,9104.863359
29.0,2048,9142.404432
28.0,2045,9182.177387
29.0,2048,9218.791491
29.0,2044,9255.399169
28.0,2046,9290.252675
30.0,2044,9326.800329
27.0,2046,9363.127441
29.0,2041,9399.357614
26.0,2045,9438.839862
27.0,2047,9482.581984
30.0,2042,9523.880734
